Metro,State,math_and_programming_jobs,median_metro_value,year,city_state,lat,lon
Asheville,NC,1690,162858.3333,2015,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1940,178500,2016,"Asheville, NC",35.602711,-82.567281
Asheville,NC,710,114320.8333,2001,"Asheville, NC",35.602711,-82.567281
Asheville,NC,830,125608.3333,2002,"Asheville, NC",35.602711,-82.567281
Asheville,NC,1330,134975,2003,"Asheville, NC",35.602711,-82.567281
Atlanta-Sandy Springs-Roswell,GA,106580,412464.3192,2015,"Atlanta-Sandy Springs-Roswell, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,114580,454005.6338,2016,"Atlanta-Sandy Springs-Roswell, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,76980,308782.971,2000,"Atlanta, GA",33.844371,-84.47405
Atlanta-Sandy Springs-Roswell,GA,77560,362860.2657,2004,"Atlanta, GA",33.844371,-84.47405
Atlanta-Sandy Springs-Roswell,GA,75960,385125.7246,2005,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,73240,409111.715,2006,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,71830,412590.8213,2007,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,77030,400953.6232,2008,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,77020,373139.1304,2009,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,78420,351557.6087,2010,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,80740,327908.0918,2011,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,84220,324403.744,2012,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,92740,356978.9286,2013,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,97810,394342.723,2014,"Atlanta-Sandy Springs-Marietta, GA",33.796385,-84.495858
Atlanta-Sandy Springs-Roswell,GA,68670,336895.1691,2001,"Atlanta, GA",33.844371,-84.47405
Atlanta-Sandy Springs-Roswell,GA,73540,350710.0242,2002,"Atlanta, GA",33.844371,-84.47405
Atlanta-Sandy Springs-Roswell,GA,84270,354600.8454,2003,"Atlanta, GA",33.844371,-84.47405
Austin-Round Rock,TX,31670,199436.236,2005,"Austin-Round Rock, TX",30.50826,-97.6789
Austin-Round Rock,TX,35440,209140.6367,2006,"Austin-Round Rock, TX",30.50826,-97.6789
Austin-Round Rock,TX,40140,219745.9738,2007,"Austin-Round Rock, TX",30.50826,-97.6789
Austin-Round Rock,TX,40820,223135.5805,2008,"Austin-Round Rock, TX",30.50826,-97.6789
Austin-Round Rock,TX,41560,217875.4682,2009,"Austin-Round Rock, TX",30.50826,-97.6789
Austin-Round Rock,TX,43210,217031.0861,2010,"Austin-Round Rock, TX",30.50826,-97.6789
Austin-Round Rock,TX,59860,275858.1461,2015,"Austin-Round Rock, TX",30.50826,-97.6789
Austin-Round Rock,TX,58880,301269.7566,2016,"Austin-Round Rock, TX",30.50826,-97.6789
Austin-Round Rock,TX,34540,184961.7041,2000,"Austin-San Marcos, TX",30.70013,-96.323824
Austin-Round Rock,TX,31420,192523.0337,2004,"Austin-San Marcos, TX",30.70013,-96.323824
Austin-Round Rock,TX,46170,212893.5393,2011,"Austin-Round Rock-San Marcos, TX",30.280092,-96.35698
Austin-Round Rock,TX,45910,215408.5206,2012,"Austin-Round Rock-San Marcos, TX",30.280092,-96.35698
Austin-Round Rock,TX,50920,250006.6479,2014,"Austin-Round Rock-San Marcos, TX",30.280092,-96.35698
Austin-Round Rock,TX,31260,193659.6442,2001,"Austin-San Marcos, TX",30.70013,-96.323824
Austin-Round Rock,TX,31990,192527.2472,2002,"Austin-San Marcos, TX",30.70013,-96.323824
Austin-Round Rock,TX,33180,189837.8277,2003,"Austin-San Marcos, TX",30.70013,-96.323824
Bakersfield,CA,2390,139014.2157,2000,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,2930,243951.4706,2004,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,2650,334684.9673,2005,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,2560,373149.5098,2006,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,2900,334275.4902,2007,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,3200,256402.6144,2008,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,3630,207021.5686,2009,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,3950,196021.5686,2010,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,3920,255333.9869,2015,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,4030,257818.9542,2016,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,2030,147550.4902,2001,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,2540,161962.4183,2002,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,2790,188950.1634,2003,"Bakersfield, CA",35.384337,-119.020562
Bakersfield,CA,3660,179765.6863,2011,"Bakersfield-Delano, CA",35.448527,-119.026995
Bakersfield,CA,4410,188901.634,2012,"Bakersfield-Delano, CA",35.448527,-119.026995
Bakersfield,CA,4530,222213.3987,2013,"Bakersfield-Delano, CA",35.448527,-119.026995
Bakersfield,CA,4560,248259.4771,2014,"Bakersfield-Delano, CA",35.448527,-119.026995
Baltimore-Columbia-Towson,MD,58810,211921.0692,2015,"Baltimore-Columbia-Towson, MD",39.228758,-76.637117
Baltimore-Columbia-Towson,MD,62290,218897.327,2016,"Baltimore-Columbia-Towson, MD",39.228758,-76.637117
Baltimore-Columbia-Towson,MD,29570,112566.8605,2000,"Baltimore, MD",39.324167,-76.719484
Baltimore-Columbia-Towson,MD,39000,189064.0625,2004,"Baltimore, MD",39.324167,-76.719484
Baltimore-Columbia-Towson,MD,39390,238146.0069,2005,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,41550,273201.2153,2006,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,42710,278231.25,2007,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,44020,263821.5278,2008,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,43960,241075.1736,2009,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,44650,224080.5842,2010,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,48110,199010.3741,2011,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,50650,196027.1044,2012,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,55320,202641.9935,2013,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,56910,209469.2063,2014,"Baltimore-Towson, MD",39.299351,-76.722079
Baltimore-Columbia-Towson,MD,34280,123921.124,2001,"Baltimore, MD",39.324167,-76.719484
Baltimore-Columbia-Towson,MD,37390,138772.4806,2002,"Baltimore, MD",39.324167,-76.719484
Baltimore-Columbia-Towson,MD,40690,159810.8059,2003,"Baltimore, MD",39.324167,-76.719484
Barnstable Town,MA,1000,441183.3333,2005,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,1010,431137.7451,2006,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,830,415189.7059,2007,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,790,377889.2157,2008,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,850,356186.7647,2009,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,880,354568.6275,2010,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,900,346131.3725,2011,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,910,345255.8824,2012,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,1030,355877.9412,2013,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,1110,366884.8039,2014,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,1130,376420.098,2015,"Barnstable Town, MA",41.704506,-70.303537
Barnstable Town,MA,1080,390296.0784,2016,"Barnstable Town, MA",41.704506,-70.303537
Baton Rouge,LA,3900,117701.3158,2000,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5450,131388.8158,2004,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5430,142376.7544,2005,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5540,162170.3947,2006,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,4750,174831.7982,2007,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5540,176784.2105,2008,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5780,173717.5439,2009,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5590,174456.1404,2010,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5410,168534.6491,2011,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5580,166638.5965,2012,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5650,170346.0526,2013,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,6170,172537.0614,2014,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,6340,174770.614,2015,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,5910,180948.9035,2016,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,3560,122798.2456,2001,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,4170,128060.5263,2002,"Baton Rouge, LA",30.44924,-91.185607
Baton Rouge,LA,4630,126886.8421,2003,"Baton Rouge, LA",30.44924,-91.185607
Beaumont-Port Arthur,TX,1590,61935.71429,2000,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,970,73741.66667,2004,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1040,81611.90476,2005,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1090,86172.61905,2006,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1790,93320.2381,2007,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1650,90273.80952,2008,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1760,86629.7619,2009,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1170,87016.66667,2010,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1120,85041.66667,2011,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1190,80104.7619,2012,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1370,81929.7619,2014,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1200,85397.61905,2015,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1380,89642.85714,2016,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1540,64008.33333,2001,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1170,66154.7619,2002,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Beaumont-Port Arthur,TX,1070,67778.57143,2003,"Beaumont-Port Arthur, TX",29.757078,-95.376933
Bellingham,WA,560,151301.0417,2000,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,590,238252.6042,2004,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,660,288121.875,2005,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,720,316985.4167,2006,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,840,316874.4792,2007,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,940,308492.7083,2008,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,1000,293543.2292,2009,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,900,285115.625,2010,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,1160,269616.6667,2011,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,1450,264824.4792,2012,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,1280,290103.125,2014,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,1210,311721.875,2015,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,1310,339540.625,2016,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,540,159054.1667,2001,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,580,172696.3542,2002,"Bellingham, WA",48.75955,-122.48822
Bellingham,WA,580,194324.4792,2003,"Bellingham, WA",48.75955,-122.48822
Bend-Redmond,OR,1070,346357.6389,2015,"Bend-Redmond, OR",44.27262,-121.17392
Bend-Redmond,OR,1270,379963.1944,2016,"Bend-Redmond, OR",44.27262,-121.17392
Bend-Redmond,OR,730,282086.8056,2005,"Bend, OR",44.082037,-121.227125
